Device,36,40,44,48,52,56,60,64,100,104,108,112,116,120,124,128,132,136,140,144,149,153,157,161,165,SS,.11,MU-MIMO,.11v,Link,Region,Version,Max Tx,OWE,SAE,.11w,Cap. Chan.,Notes
ASUS USB-AC68,,,,,,,,,,,,,,,,,,,,,,,,,,3,ac,N,Y,PCAP,US,,,,,,100,Doesnt report Supported Channels
Asus PCE-AC88,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,4,ac,Y,,PCAP,US,Windows7,,,,,149,https://www.asus.com/Networking/PCE-AC88/
Asus USB-AC56,,,,,,,,,,,,,,,,,,,,,,,,,,2,ac,N,N,PCAP,EU,,,,,,44,Doesnt report Supported Channels
Blackberry Key One,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,Y,N,PCAP,US,BBB100-1,17,,,Y,,
Blackberry Passport,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,Y,,US,,,,,,,
Centrino7260AC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,Y,Y,Y,Y,Y,2,ac,,,PCAP,EU,Windows,15,,,,100,Measured in EU domain. Asso. Req. still advertising support for non-EU channels.
Chromebook - Asus C202SA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,N,,US,C202SA,22,,,,52,
Chromebook - Acer C7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,C710-2847,20,,,,36,
Chromebook - Lenovo 11e,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,,,PCAP,US,,22,,,,112,
Chromecast 2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y*,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,US,,20,,,,36,"Advertised 144 as not supported, though captures from @timcapalli do show 144 supported. "
Chromecast Audio,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,US,,20,,,,?,
Cisco 8821,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,N,PCAP,US,CP-8821,,,,,,Code ver: sip8821.11-0-3ES8-5
Cisco 8861,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,N,PCAP,US,,,,,,100,
Cisco CP-840S,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,N,PCAP,US,,24,,,Y,36,
Clover POS,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,Y,PCAP,US,,17,,,Y,36,
ComFast CF-912AC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,Y,N,PCAP,EU,,21,,,,40,
ComFast CF-917 RTL8814,,,,,,,,,,,,,,,,,,,,,,,,,,3,ac,N,Y,,APAC,AU-CF-917,,,,,149,
Dell Inspiron 15 5568,,,,,,,,,,,,,,,,,,,,,,,,,,1,ac,N,Y,PCAP,US,,,,,,149,Does not advertise chan. support
Dell latitude 3150,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,n,,Y,PCAP,US,,15,,,,161,
Dell latitude E5470,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,?,Y,PCAP,EU,Intel(R) Dual Band Wireless-AC 8260,11,,,,36,Capture in .11n BSS. Can't discern MU capability
Dell latitude 5480,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,?,Y,PCAP,EU,Intel(R) Dual Band Wireless-AC 8265,11,,,,36,Capture in .11n BSS. Can't discern MU capability
Dell latitude E5270,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,?,N,PCAP,EU,Dell Wirelless 1820 802.11ac,25,,,,36,Capture in .11n BSS. Can't discern MU capability
Dell latitude E5450,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,?,N,PCAP,EU,Intel(R) Dual Band Wireless-AC 7265,11,,,,36,Capture in .11n BSS. Can't discern MU capability
Dell Latitude 5440,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,?,N,PCAP,EU,Intel(R) Dual Band Wireless-AC 7260,11,,,,36,Capture in .11n BSS. Can't discern MU capability
Dell latitude 7250,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,?,Y,PCAP,EU,Intel(R) Dual Band Wireless-AC 7265,11,,,,36,Capture in .11n BSS. Can't discern MU capability
Dell Precision 7510,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,?,N,PCAP,EU,Intel(R) Dual Band Wireless-AC 8260,11,,,,36,Capture in .11n BSS. Can't discern MU capability
Dell Venue 8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,,PCAP,US,6/18/1921,,,,,48,
Dell Chromebook 11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,N,PCAP,US,3120,22,,,,,
Dell XPS 15 7590,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ax,N,Y,PCAP,US,7590,14,,,Y,36,
DirecTV C41W-500,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,4,n,,,PCAP,,C41W-500,,,,,,Doesn't advertise channel support
EcoBee 3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,n,N,,PCAP,US,,,,,,,2.4GHz only
Edimax AC1200 USB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,ac,N,,PCAP,US,,,,,,153,Does not advertise it's supported channels
Edimax EW7833UAC,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3,ac,N,N,PCAP,EMEA,,,,,,40,Does not advertise it's supported channels
Netscout Aircheck G2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,3,ac,N,N,PCAP,EMEA,,,,,,44,
Google Chromecast Ultra,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,EU,,20,,,,36,
Google Home,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,1,ac,N,,PCAP,US,Gen 1,,,,,124,Does not advertise it's supported channels
Google Home Mini,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,N,PCAP,EU,,20,,,,36,
Google Home Hub,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,APAC,H1A,,,,,52,
Google Nest Mini,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,Y,N,PCAP,EU,,20,,,,36,
Google Pixel,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,Sailfish,30,,,,161,802.11k & v supported
Google Pixel 2 XL,?,?,?,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,ac,Y,Y,PCAP,US,,,,,,64,Does not advertise channel support
Google Pixel 3XL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,EU,,22,,,,36,
Google Pixel 3A XL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,Android 9.0,22,,,,100,
Google Pixel 4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,ac,N,,PCAP,US,,,,,,36,
Google Pixel 4 XL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,ac,Y,Y,PCAP,EMEA,Android 10,23,,,,36,
Google Stadia,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,N,N,PCAP,US,,16,,,,36,
HP EliteBook Folio,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,9470m,15,,,,36,
HP Pavilion 15 cs3153cl,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,15,,,,157,
HP zBook 15inch,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,,10,,,,36,
Chromebook HP13G1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,EU,ChromeOS 77.0.3849.0,22,,,,140,
HTC One,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,?,,,,,PCAP,US,,,,,,,Need a pcap for this device
HTC One(M8),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,,,PCAP,US,,17,,,,36,Does not advertise RSN capabilities. Does support .11k
Huawei Honor 6A,,,,,,,,,,,,,,,,,,,,,,,,,,1,n,,Y,PCAP,EU,,20,,,Y,,
Huawei Honor 8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,/,/,/,/,/,1,ac,N,Y,PCAP,EU,,,,,,,
Huawei Honor 9,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,/,/,/,/,/,1,ac,,Y,PCAP,EU,,19,,,,44,
Huawei P20 Light,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,/,/,/,/,/,1,n,,N,PCAP,EU,,23,,,,44,
Huwei P20 Pro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,16,,,,36,
Huawei P9 Plu,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,N,Y,,APAC,,,,,Y,149,
Huawei P30 Lite,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,N,PCAP,US,,23,,,,40,
Huawei P30 Pro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,23,,,,40,
Huawei P40 ANA-NX9,,,,,Y,Y,Y,Y,/,/,/,/,/,/,/,/,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ax,Y,Y,PCAP,RU,,23,,,Y,36,
ICOM IP100H,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,/,/,/,/,/,1,n,,Y,PCAP,EU,,20,,,,60,
Intel AX200NGW,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ax,Y,N,PCAP,US,,22,,,,1,
Intel 6235,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,,15,,,,153,
Intel 7265,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,,,PCAP,US,3.16.0-49-generic,22,,,,36,Linux OS
Intel 7260,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,,,PCAP,US,3.16.0-49-generic,22,,,,36,Linux OS
Intel 6300-Ultimate,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,3,n,,,PCAP,US,Windows10,15,,,,149,
Intel 8265,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,Windows7,15,,,,108,
iMac 5K,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3,ac,,,PCAP,US,,,,,,36,Advertises max Tx of 224 dBm. Does not advertise RSN Capabilities
iMac (Mid 2007),Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,OSX 10.11.3,15,,,,48,
iMac (Mid 2011),,,,,,,,,,,,,,,,,,,,,,,,,,3,n,,,PCAP,US,10.11.4,,,,,,Does not advertise channel support
iPad2 (Retina),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,1,n,,,PCAP,EU,1/7/1900,25,,,,100,
iPad2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,,PCAP,US,,16,,,,153,
iPad 3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,,PCAP,US,,24,,,,36,Does not advertise RSN Capabilities
iPad 4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,19,,,,124,
iPad Air,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,,,,,,36,Advertises max Tx of 230 dBm. Does not advertise RSN capabilities
iPad Air 2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,,PCAP,US,,,,,,64,"Association was on .11n AP, but it's .11ac client. Therefore, can't tell if it's MU-MIMO."
iPad Mini 1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,,PCAP,US,iOs 9.3.1,24,,,,64,
iPad Mini 2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,PCAP,US,,,,,,,
iPad Mini 4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,19,,,,36,
iPad Pro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,,Y,PCAP,US,,,,,,157,Advertises max Tx of 224 dBm
iPad Pro 7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,,,PCAP,EU,,18,,,,,Captured on .11n. Can't tell if it's VHT capabilities
iPad Pro 10,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,20,,,,100,
iPad 9 (2017),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,N,,PCAP,EU,iOS 9.7,19,,,,36,
iPad 6th Gen,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,APAC,A1893,19,,Y,Y,100,
iPhone 5,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,\,n,,,PCAP,EU,,22,,,,108,
iPhone 5c,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,Y,PCAP,US,iOS 8.2,24,,,,64,See .11v notes below.
iPhone 5s,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,Y,PCAP,US,,21,,,,48,See .11v notes below.
iPhone 5s,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,Y,PCAP,US,,22,,,,149,See .11v notes below.
iPhone 6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,US,,18,,,,149,Does not advertise RSN capabilites & See .11v notes below.
iPhone 6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,EU,,,,,,36,See .11v notes below.
iPhone 6S,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,19,,,,52,See .11v notes below.
iPhone 6S+,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,,,,,,See .11v notes below.
iPhone 7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,10.0.1,19,,,,36,
iPhone 7+,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,19,,,,36,See .11v notes below.
iPhone 7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,,PCAP,EU,10.0.2,19,,,,36,
iPhone 8+,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,N,PCAP,US,,20,,,,161,
iPhone SE,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,N,,PCAP,US,,,,,,40,
iPhone SE 2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ax,N,Y,PCAP,HK,,21,,,Y,100,
iPhone X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,21,,,,100,
iPhone Xr,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,EU,MRYE2ZD/A iOS 13.6.1,,,,Y,36,
iPhone XS,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,21,,,,149,
iPhone XS Max,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,21,,,,153,
iPhone 11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,21,,,,36,
iPhone 11 (EMEA),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,EMEA,,21,,,Y,136,
iPhone 11 Pro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ax,N,Y,PCAP,EMEA,,21,,,Y,36,
iPhone 11 Pro Max,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ax,N,Y,PCAP,US,,21,,,,161,
iPhone 12 Pro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ax,N,Y,PCAP,EU,,21,,,,52,
iPod 5th Gen,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,,PCAP,US,,23,,,,36,
iPod 6th Gen,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,US,,19,,,,36,
LG G3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,,,PCAP,US,LG-D851,30,,,,149,
LG G4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,US,,,,,,40,
LG G6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,,N,PCAP,US,LG-H872 1.0,17,,,Y,161,
LG V10,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,1,ac,N,N,PCAP,US,LG-H901,,,,Y,149,
LG V30,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,22,,,,161,
LG Musicflow Speakers,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,n,,N,PCAP,EU,more info,18,,,,44,
Lenovo YOGA Tablet,,,,,,,,Y,,,,,,,,,,,,,,,,,,2,n,,,PCAP,US,Android 5.0.1,,,,,64,Does not advertise channel support
Lenovo Ideapad 100s 11,,,,,,,,,,,,,,,,,,,,,,,,,,1,n,,Y,PCAP,,,,,,,,
Lenovo X1 Carbon,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,15,,,Y,165,
Linksys AE6000,,,,,,,,,,,,,,,,,,,,,,,,,,1,ac,,N,PCAP,US,,17,,,,36,USB devices advertise very little
Lenovo P1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,15,,,Y,40,
Lenovo P2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,1,ac,Y,N,PCAP,EU,Android 7,18,,,,36,
LeEco LeTV S2 China,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,1,ac,Y,Y,PCAP,APAC,,20,,,,,
LG OLED55E6P-U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,N,PCAP,US,,17,,,,36,
Logitech CIrcle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,n,,,PCAP,US,Gen 1,,,,,,Lots of info not present in Association Request
